Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ak,10842009,1,"Saturday, November  9, 2013 10:47:00 UTC",58.5830,-152.4496,2.3,100.00,13,"Kodiak Island region, Alaska"
nn,00428814,1,"Saturday, November  9, 2013 10:26:55 UTC",39.7787,-120.6729,1.2,13.50,17,"Northern California"
nc,72104111,1,"Saturday, November  9, 2013 10:13:10 UTC",38.8105,-122.8150,1.1,2.90,27,"Northern California"
hv,60589236,1,"Saturday, November  9, 2013 10:09:32 UTC",19.1995,-155.7165,1.8,1.10,54,"Island of Hawaii, Hawaii"
ci,11389570,2,"Saturday, November  9, 2013 09:54:56 UTC",33.9955,-117.2202,2.0,13.20,85,"Greater Los Angeles area, California"
ci,11389562,2,"Saturday, November  9, 2013 09:52:51 UTC",33.9957,-117.2192,2.2,12.10,92,"Greater Los Angeles area, California"
pr,13313000,0,"Saturday, November  9, 2013 09:51:53 UTC",18.0603,-66.1191,2.3,20.00, 6,"Puerto Rico"
ci,11389546,2,"Saturday, November  9, 2013 09:21:28 UTC",32.6738,-115.7408,1.8,11.70,24,"Southern California"
ak,10841990,1,"Saturday, November  9, 2013 08:46:53 UTC",63.9280,-148.8073,1.7,0.00,25,"Central Alaska"
ci,11389530,2,"Saturday, November  9, 2013 08:41:43 UTC",33.1598,-115.6565,1.3,0.00,13,"Southern California"
ak,10841985,1,"Saturday, November  9, 2013 08:37:26 UTC",61.3794,-150.0724,1.6,35.10,15,"Southern Alaska"
nc,72104056,0,"Saturday, November  9, 2013 08:27:05 UTC",40.1085,-120.8957,1.9,6.70, 9,"Northern California"
ak,10841983,1,"Saturday, November  9, 2013 08:26:19 UTC",61.4040,-140.6321,1.4,29.40, 7,"Southern Yukon Territory, Canada"
ak,10841978,1,"Saturday, November  9, 2013 08:14:05 UTC",59.9763,-151.7412,1.5,35.40, 9,"Kenai Peninsula, Alaska"
ci,11389514,2,"Saturday, November  9, 2013 08:09:19 UTC",35.7973,-117.5462,1.8,6.60, 9,"Central California"
nc,72104046,0,"Saturday, November  9, 2013 07:45:57 UTC",39.7868,-120.6725,2.1,12.30,12,"Northern California"
nc,72104036,0,"Saturday, November  9, 2013 07:41:48 UTC",38.8403,-122.8258,1.4,2.20,21,"Northern California"
ci,11389506,2,"Saturday, November  9, 2013 07:23:07 UTC",33.9955,-117.2177,1.5,11.50,62,"Greater Los Angeles area, California"
nc,72103986,1,"Saturday, November  9, 2013 07:11:49 UTC",39.7758,-120.6843,2.8,11.00,22,"Northern California"
ci,11389498,2,"Saturday, November  9, 2013 07:08:33 UTC",33.9995,-117.2110,1.0,10.90,14,"Greater Los Angeles area, California"
ci,11389482,2,"Saturday, November  9, 2013 06:51:51 UTC",33.9935,-117.2165,2.2,11.00,84,"Greater Los Angeles area, California"
hv,60589211,2,"Saturday, November  9, 2013 06:49:35 UTC",19.4162,-155.2585,2.0,3.20,27,"Island of Hawaii, Hawaii"
nn,00428808,1,"Saturday, November  9, 2013 06:19:48 UTC",38.3992,-119.7030,1.1,10.50, 5,"Central California"
nc,72103956,5,"Saturday, November  9, 2013 06:04:27 UTC",37.7767,-121.9427,2.9,8.30,64,"San Francisco Bay area, California"
ci,11389458,2,"Saturday, November  9, 2013 05:32:51 UTC",35.4868,-118.3055,1.4,1.90,13,"Central California"
nc,72103951,1,"Saturday, November  9, 2013 05:32:02 UTC",39.7817,-120.6797,2.4,12.00,20,"Northern California"
nc,72103936,1,"Saturday, November  9, 2013 05:17:28 UTC",38.8278,-122.8147,1.5,1.30,27,"Northern California"
ci,11389434,2,"Saturday, November  9, 2013 04:34:56 UTC",31.7712,-115.8402,2.7,11.90,11,"Baja California, Mexico"
ci,11389426,2,"Saturday, November  9, 2013 04:32:18 UTC",33.9975,-117.2178,1.8,12.10,73,"Greater Los Angeles area, California"
nc,72103866,0,"Saturday, November  9, 2013 04:26:49 UTC",38.8217,-122.8338,1.0,0.00, 8,"Northern California"
ak,10841944,1,"Saturday, November  9, 2013 04:01:27 UTC",63.3590,-150.4810,1.2,0.00,11,"Central Alaska"
ak,10841938,1,"Saturday, November  9, 2013 03:44:19 UTC",60.8543,-151.6102,1.6,100.00,20,"Kenai Peninsula, Alaska"
ci,11389418,2,"Saturday, November  9, 2013 03:28:57 UTC",35.5167,-118.2437,1.3,21.10, 8,"Central California"
nn,00428795,1,"Saturday, November  9, 2013 03:28:52 UTC",39.7853,-120.6695,1.2,12.50,13,"Northern California"
nc,72103836,1,"Saturday, November  9, 2013 03:09:27 UTC",37.5555,-121.7785,1.6,8.30,24,"Northern California"
nn,00428791,1,"Saturday, November  9, 2013 03:08:19 UTC",39.7875,-120.6638,1.0,9.70,11,"Northern California"
ak,10841923,1,"Saturday, November  9, 2013 03:08:16 UTC",63.0485,-150.6613,2.0,30.00, 6,"Central Alaska"
