Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
uw,60631231,2,"Saturday, November 16, 2013 10:56:23 UTC",47.8720,-121.6602,1.1,12.20,16,"Washington"
ak,10852460,2,"Saturday, November 16, 2013 10:35:05 UTC",53.8261,-163.4502,4.1,11.40,21,"Unimak Island region, Alaska"
ci,11392138,2,"Saturday, November 16, 2013 10:09:15 UTC",33.0262,-116.4245,1.5,7.50,33,"Southern California"
ak,10852450,1,"Saturday, November 16, 2013 09:54:58 UTC",61.7532,-149.2298,2.0,99.90, 4,"Southern Alaska"
ak,10852440,1,"Saturday, November 16, 2013 09:46:38 UTC",63.2889,-151.1953,1.5,10.30, 9,"Central Alaska"
ak,10852435,1,"Saturday, November 16, 2013 09:43:31 UTC",63.2757,-151.1235,1.9,0.00,19,"Central Alaska"
pr,13320001,0,"Saturday, November 16, 2013 09:42:49 UTC",17.8419,-67.1630,2.2,8.00, 4,"Puerto Rico region"
ak,10852432,1,"Saturday, November 16, 2013 09:41:16 UTC",63.3324,-151.1481,2.3,0.30,29,"Central Alaska"
uw,60631206,2,"Saturday, November 16, 2013 09:40:40 UTC",47.6055,-122.6742,1.0,21.30,14,"Seattle-Tacoma urban area, Washington"
nn,00429325,1,"Saturday, November 16, 2013 09:20:54 UTC",37.9532,-116.2210,1.4,7.00,12,"Nevada"
ak,10852204,1,"Saturday, November 16, 2013 08:45:08 UTC",60.9756,-152.0313,2.1,99.90,30,"Southern Alaska"
nc,72108406,0,"Saturday, November 16, 2013 08:40:06 UTC",40.7803,-124.3332,2.1,20.40,10,"offshore Northern California"
ci,11392122,2,"Saturday, November 16, 2013 08:28:58 UTC",34.2962,-116.9162,1.0,10.70,19,"Southern California"
nc,72108386,0,"Saturday, November 16, 2013 07:49:32 UTC",38.8422,-122.7667,1.2,1.50,16,"Northern California"
ak,10851985,2,"Saturday, November 16, 2013 07:27:10 UTC",53.5785,-165.7453,2.1,39.20,13,"Fox Islands, Aleutian Islands, Alaska"
